NAME,PROVINCE
Abbasanta,Oristano	
Aggius,Olbia Tempio	
Aglientu,Olbia Tempio	
Aidomaggiore,Oristano	
Alà dei Sardi,Olbia Tempio	
Albagiara,Oristano	
Ales,Oristano	
Alghero,Sassari	
Allai,Oristano	
Anela,Sassari	
Arborea,Oristano	
Arbus,Medio Campidano	
Ardara,Sassari	
Ardauli,Oristano	
Aritzo,Nuoro	
Armungia,Cagliari	
Arzachena,Olbia Tempio	
Arzana,Ogliastra	
Assemini,Cagliari	
Assolo,Oristano	
Asuni,Oristano	
Atzara,Nuoro	
Austis,Nuoro	
Badesi,Olbia Tempio	
Ballao,Cagliari	
Banari,Sassari	
Baradili,Oristano	
Baratili_San_Pietro,Oristano	
Baressa,Oristano	
Bari_Sardo,Ogliastra	
Barrali,Cagliari	
Barumini,Medio Campidano	
Bauladu,Oristano	
Baunei,Ogliastra	
Belvì,Nuoro	
Benetutti,Sassari	
Berchidda,Olbia Tempio	
Bessude,Sassari	
Bidonì,Oristano	
Birori,Nuoro	
Bitti,Nuoro	
Bolotana,Nuoro	
Bonarcado,Oristano	
Bonnanaro,Sassari	
Bono,Sassari	
Bonorva,Sassari	
Boroneddu,Oristano	
Borore,Nuoro	
Bortigali,Nuoro	
Bortigiadas,Olbia Tempio	
Borutta,Sassari	
Bosa,Oristano	
Bottidda,Sassari	
Buddusò,Olbia Tempio	
Budoni,Olbia Tempio	
Buggerru,Carbonia-Iglesias	
Bultei,Sassari	
Bulzi,Sassari	
Burcei,Cagliari	
Burgos,Sassari	
Busachi,Oristano	
Cabras,Oristano	
Cagliari,Cagliari	
Calangianus,Olbia Tempio	
Calasetta,Carbonia-Iglesias	
Capoterra,Cagliari	
Carbonia,Carbonia-Iglesias	
Cardedu,Ogliastra	
Cargeghe,Sassari	
Carloforte,Carbonia-Iglesias	
Castelsardo,Sassari	
Castiadas,Cagliari	
Cheremule,Sassari	
Chiaramonti,Sassari	
Codrongianos,Sassari	
Collinas,Medio Campidano	
Cossoine,Sassari	
Cuglieri,Oristano	
Curcuris,Oristano	
Decimomannu,Cagliari	
Decimoputzu,Cagliari	
Desulo,Nuoro	
Dolianova,Cagliari	
Domus_de_Maria,Cagliari	
Domusnovas,Carbonia-Iglesias	
Donori,Cagliari	
Dorgali,Nuoro	
Dualchi,Nuoro	
Elini,Ogliastra	
Elmas,Cagliari	
Erula,Sassari	
Escalaplano,Cagliari	
Escolca,Cagliari	
Esporlatu,Sassari	
Esterzili,Cagliari	
Florinas,Sassari	
Fluminimaggiore,Carbonia-Iglesias	
Flussio,Oristano	
Fonni,Nuoro	
Fordongianus,Oristano	
Furtei,Medio Campidano	
Gadoni,Nuoro	
Gairo,Ogliastra	
Galtellì,Nuoro	
Gavoi,Nuoro	
Genoni,Oristano	
Genuri,Medio Campidano	
Gergei,Cagliari	
Gesico,Cagliari	
Gesturi,Medio Campidano	
Ghilarza,Oristano	
Giave,Sassari	
Giba,Carbonia-Iglesias	
Girasole,Ogliastra	
Golfo_Aranci,Olbia Tempio	
Goni,Cagliari	
Gonnesa,Carbonia-Iglesias	
Gonnoscodina,Oristano	
Gonnosfanadiga,Medio Campidano	
Gonnosnò,Oristano	
Gonnostramatza,Oristano	
Guamaggiore,Cagliari	
Guasila,Cagliari	
Guspini,Medio Campidano	
Iglesias,Carbonia-Iglesias	
Ilbono,Ogliastra	
Illorai,Sassari	
Irgoli,Nuoro	
Isili,Cagliari	
Ittireddu,Sassari	
Ittiri,Sassari	
Jerzu,Ogliastra	
Laconi,Oristano	
Laerru,Sassari	
La_Maddalena,Olbia Tempio	
Lanusei,Ogliastra	
Las Plassas,Medio Campidano	
Lei,Nuoro	
Loceri,Ogliastra	
Loculi,Nuoro	
Lodè,Nuoro	
Lodine,Nuoro	
Loiri_Porto_San_Paolo,Olbia Tempio	
Lotzorai,Ogliastra	
Lula,Nuoro	
Lunamatrona,Medio Campidano	
Luogosanto,Olbia Tempio	
Luras,Olbia Tempio	
Macomer,Nuoro	
Magomadas,Oristano	
Mamoiada,Nuoro	
Mandas,Cagliari	
Mara,Sassari	
Maracalagonis,Cagliari	
Marrubiu,Oristano	
Martis,Sassari	
Masainas,Carbonia-Iglesias	
Masullas,Oristano	
Meana_Sardo,Nuoro	
Milis,Oristano	
Modolo,Oristano	
Mogorella,Oristano	
Mogoro,Oristano	
Monastir,Cagliari	
Monserrato,Cagliari	
Monteleone_Rocca_Doria,Sassari	
Monti,Olbia Tempio	
Montresta,Oristano	
Mores,Sassari	
Morgongiori,Oristano	
Muravera,Cagliari	
Muros,Sassari	
Musei,Carbonia-Iglesias	
Narbolia,Oristano	
Narcao,Carbonia-Iglesias	
Neoneli,Oristano	
Noragugume,Nuoro	
Norbello,Oristano	
Nughedu_San_Nicolò,Sassari	
Nughedu_Santa_Vittoria,Oristano	
Nule,Sassari	
Nulvi,Sassari	
Nuoro,Nuoro	
Nurachi,Oristano	
Nuragus,Cagliari	
Nurallao,Cagliari	
Nuraminis,Cagliari	
Nureci,Oristano	
Nurri,Cagliari	
Nuxis,Carbonia-Iglesias	
Olbia,Olbia Tempio	
Oliena,Nuoro	
Ollastra,Oristano	
Ollolai,Nuoro	
Olmedo,Sassari	
Olzai,Nuoro	
Onanì,Nuoro	
Onifai,Nuoro	
Oniferi,Nuoro	
Orani,Nuoro	
Orgosolo,Nuoro	
Oristano,Oristano	
Orosei,Nuoro	
Orotelli,Nuoro	
Orroli,Cagliari	
Ortacesus,Cagliari	
Ortueri,Nuoro	
Orune,Nuoro	
Oschiri,Olbia Tempio	
Osidda,Nuoro	
Osilo,Sassari	
Osini,Ogliastra	
Ossi,Sassari	
Ottana,Nuoro	
Ovodda,Nuoro	
Ozieri,Sassari	
Pabillonis,Medio Campidano	
Padria,Sassari	
Padru,Olbia Tempio	
Palau,Olbia Tempio	
Palmas Arborea,Oristano	
Pattada,Sassari	
Pau,Oristano	
Pauli Arbarei,Medio Campidano	
Paulilatino,Oristano	
Perdasdefogu,Ogliastra	
Perdaxius,Carbonia-Iglesias	
Perfugas,Sassari	
Pimentel,Cagliari	
Piscinas,Carbonia-Iglesias	
Ploaghe,Sassari	
Pompu,Oristano	
Portoscuso,Carbonia-Iglesias	
Porto_Torres,Sassari	
Posada,Nuoro	
Pozzomaggiore,Sassari	
Pula,Cagliari	
Putifigari,Sassari	
Quartucciu,Cagliari	
Quartu_Sant'Elena,Cagliari	
Riola_Sardo,Oristano	
Romana,Sassari	
Ruinas,Oristano	
Sadali,Cagliari	
Sagama,Oristano	
Samassi,Medio Campidano	
Samatzai,Cagliari	
Samugheo,Oristano	
San_Basilio,Cagliari	
San_Gavino_Monreale,Medio Campidano	
San_Giovanni_Suergiu,Carbonia-Iglesias	
Sanluri,Medio Campidano	
San_Nicolò_d'Arcidano,Oristano	
San Nicolò Gerrei,Cagliari	
San_Sperate,Cagliari	
Santadi,Carbonia-Iglesias	
Santa_Giusta,Oristano	
Santa_Maria_Coghinas,Sassari	
Sant'Andrea_Frius,Cagliari	
Sant'Anna_Arresi,Carbonia-Iglesias	
Sant'Antioco,Carbonia-Iglesias	
Sant'Antonio_di_Gallura,Olbia Tempio	
Santa_Teresa_Gallura,Olbia Tempio	
San_Teodoro,Olbia Tempio	
Santu_Lussurgiu,Oristano	
San_Vero_Milis,Oristano	
San_Vito,Cagliari	
Sardara,Medio Campidano	
Sarroch,Cagliari	
Sarule,Nuoro	
Sassari,Sassari	
Scano_di_Montiferro,Oristano	
Sedilo,Oristano	
Sedini,Sassari	
Segariu,Medio Campidano	
Selargius,Cagliari	
Selegas,Cagliari	
Semestene,Sassari	
Seneghe,Oristano	
Senis,Oristano	
Sennariolo,Oristano	
Sennori,Sassari	
Senorbì,Cagliari	
Serdiana,Cagliari	
Serramanna,Medio Campidano	
Serrenti,Medio Campidano	
Serri,Cagliari	
Sestu,Cagliari	
Settimo_San_Pietro,Cagliari	
Setzu,Medio Campidano	
Seui,Ogliastra	
Seulo,Cagliari	
Siamaggiore,Oristano	
Siamanna,Oristano	
Siapiccia,Oristano	
Siddi,Medio Campidano	
Silanus,Nuoro	
Siligo,Sassari	
Siliqua,Cagliari	
Silius,Cagliari	
Simala,Oristano	
Simaxis,Oristano	
Sindia,Nuoro	
Sini,Oristano	
Siniscola,Nuoro	
Sinnai,Cagliari	
Siris,Oristano	
Siurgus_Donigala,Cagliari	
Soddì,Oristano	
Solarussa,Oristano	
Soleminis,Cagliari	
Sorgono,Nuoro	
Sorradile,Oristano	
Sorso,Sassari	
Stintino,Sassari	
Suelli,Cagliari	
Suni,Oristano	
Tadasuni,Oristano	
Talana,Ogliastra	
Telti,Olbia Tempio	
Tempio_Pausania,Olbia Tempio	
Tergu,Sassari	
Terralba,Oristano	
Tertenia,Ogliastra	
Teti,Nuoro	
Teulada,Cagliari	
Thiesi,Sassari	
Tiana,Nuoro	
Tinnura,Oristano	
Tissi,Sassari	
Tonara,Nuoro	
Torpè,Nuoro	
Torralba,Sassari	
Tortolì,Ogliastra	
Tramatza,Oristano	
Tratalias,Carbonia-Iglesias	
Tresnuraghes,Oristano	
Triei,Ogliastra	
Trinità_d'Agultu_e_Vignola,Olbia Tempio	
Tuili,Medio Campidano	
Tula,Sassari	
Turri,Medio Campidano	
Ulassai,Ogliastra	
Ulà_Tirso,Oristano	
Uras,Oristano	
Uri,Sassari	
Urzulei,Ogliastra	
Usellus,Oristano	
Usini,Sassari	
Ussana,Cagliari	
Ussaramanna,Medio Campidano	
Ussassai,Ogliastra	
Uta,Cagliari	
Valledoria,Sassari	
Vallermosa,Cagliari	
Viddalba,Sassari	
Villacidro,Medio Campidano	
Villagrande Strisaili,Ogliastra	
Villamar,Medio Campidano	
Villamassargia,Carbonia-Iglesias	
Villanovaforru,Medio Campidano	
Villanovafranca,Medio Campidano	
Villanova_Monteleone,Sassari	
Villanova_Truschedu,Oristano	
Villanova_Tulo,Cagliari	
Villaperuccio,Carbonia-Iglesias	
Villaputzu,Cagliari	
Villasalto,Cagliari	
Villa_San_Pietro,Cagliari	
Villa_Sant'Antonio,Oristano	
Villasimius,Cagliari	
Villasor,Cagliari	
Villaspeciosa,Cagliari	
Villaurbana,Oristano	
Villa_Verde,Oristano	
Zeddiani,Oristano	
Zerfaliu
